"horo","utilisation_cdiscount","pb_rencontre_cdiscount","hors_cdiscount_site_used","nb_achats_mois_cdiscount","nb_achats_mois_autre_ecom","categorie_fav_cdiscount","categorie_fav_autre_ecom","service_client_cdiscount","ergonomie_cdiscount","ameliorer_cdiscount","utilisation_autre_ecom","quel_autre_ecom","freq_achat_autre_ecom","fav_cat_autre_ecom","reco_achat_ligne","fav_carac_ecom","genre","age"
"2020/06/20 7:14:46 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Vente-privée (Veepee);Fnac","4 à 8 fois par mois.","Électroménager;TV / Son / Photo","Amazon","Prix abordable","un homme.","24"
"2020/06/20 7:16:09 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac","1 à 2 fois par mois","Informatique;Jeux vidéo;Sport","Amazon","Facile à utiliser;Prix abordable;Bonne réputation;Conseillé par un proche","un homme.","22"
"2020/06/20 7:17:25 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;Carrefour;AliExpress","1 à 2 fois par mois.","4 à 8 fois par mois.","Électroménager","Meuble déco;Mode Bagage;Jouets","7","6","Rien a changer","","","","","Amazon","Beau design;Facile à utiliser;Grande variété de produits","une femme.","25"
"2020/06/20 7:18:34 PM UTC+2","Oui","Le service client m'a déplu.","Amazon;Vente-privée (Veepee);Carrefour;Wish;AliExpress","2 fois par an","2 à 4 fois par mois.","Courses alimentaires;Meuble déco;Jardin animalerie;Bricolage","Courses alimentaires;Meuble déco;Jardin animalerie;Bricolage","6","6","Rien","","","","","Amazon;Carrefour;AliExpress","Grand nombre d'avis","une femme.","23"
"2020/06/20 7:18:43 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Vente-privée (Veepee);Fnac;boulanger, Zara, Asos, Mango","2 à 4 fois par mois","Électroménager;Mode Bagage","Amazon;Fnac","Beau design;Facile à utiliser;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","24"
"2020/06/20 7:18:59 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Darty;Carrefour;rueducommerce, just-eat","1 fois tous les 3 mois a peu pres","Courses alimentaires;article de soin (huiles essentiels...)","Amazon;Fnac","Prix abordable;Grande variété de produits;possibilité de  livraison dans tt zones","Je ne souhaite pas le préciser.","21"
"2020/06/20 7:19:12 PM UTC+2","Oui","Non","Amazon;Vente-privée (Veepee);Fnac;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Informatique;Jouets","Téléphonie;Jeux vidéo","8","4","L’ergonomi","","","","","Amazon;Cdiscount","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","23"
"2020/06/20 7:20:21 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;Le service client m'a déplu.","Amazon;Vente-privée (Veepee);AliExpress","2 fois par an","1 à 2 fois par mois.","Électroménager;Meuble déco;Informatique","Informatique;Mode Bagage","3","4","Un meilleur service client serait appréciable.","","","","","Amazon","Facile à utiliser;Prix abordable;Grande variété de produits","une femme.","23"
"2020/06/20 7:25:54 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;AliExpress;PriceMinister (Rakuten)","1 à 2 fois par an.","1 à 2 fois par mois.","Informatique","Informatique","5","3","Le site est moche. Le fond blanc casse les yeux","","","","","Amazon;Rue du commerce","","un homme.","25"
"2020/06/20 7:27:46 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Ebay;AliExpress","2 fois par an","1 à 2 fois par mois.","Électroménager;Téléphonie","Électroménager;Meuble déco;Vetments ","8","4","Simplifier la recherche d'un produit ","","","","","Amazon","Facile à utiliser;Prix abordable;Grand nombre d'avis","une femme.","25"
"2020/06/20 7:28:16 PM UTC+2","Non","","","","","","","","","","Non","","","","","","une femme.","29"
"2020/06/20 7:32:08 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;AliExpress","1 à 2 fois par mois","Meuble déco","Amazon","Beau design;Facile à utiliser;Prix abordable;Bonne réputation","une femme.","28"
"2020/06/20 7:32:32 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee);Fnac;Darty;AliExpress","Moins d'1 fois par an","2 à 4 fois par mois.","Électroménager;Informatique;Jeux vidéo","Courses alimentaires;Informatique;Jeux vidéo","10","6","T'es beau Théo <3 Non en vrai je sais pas :(","","","","","Amazon","Facile à utiliser;Grande variété de produits;Grand nombre d'avis","un homme.","24"
"2020/06/20 7:32:42 PM UTC+2","Oui","Aucun","Amazon;Ebay;Wish","presque jamais (à moins de trouver une offre alléchante)","1 à 2 fois par mois.","Électroménager;Informatique;Téléphonie;Jeux vidéo","Électroménager;Informatique;TV / Son / Photo;Reconditionné;Jeux vidéo","7","6","le délais de livraison","","","","","Amazon","Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","23"
"2020/06/20 7:38:20 PM UTC+2","Oui","Aucun","Amazon;Fnac;Carrefour","1 à 2 fois par mois.","2 à 4 fois par mois.","Jeux vidéo","Courses alimentaires;Jeux vidéo","8","8","L’apparence de la 1ère page, trop de produits présentés (sur mobile)","","","","","Amazon;Cdiscount;Fnac;Carrefour","Facile à utiliser;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","25 "
"2020/06/20 7:39:34 PM UTC+2","Oui","Aucun","Amazon;Ebay;Wish","1 à 2 fois par mois.","2 à 4 fois par mois.","TV / Son / Photo;Jeux vidéo;Jouets","Téléphonie;Jeux vidéo;Bébé;Jouets","10","10","Rien ","","","","","Amazon;Cdiscount;Fnac;Leroy Merlin;Wish;AliExpress","Facile à utiliser;Prix abordable;Grand nombre d'avis;Bonne réputation","une femme.","20"
"2020/06/20 7:41:04 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Darty;Carrefour","Occasionnellement ","Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Amazon","Prix abordable;Grand nombre d'avis;Bonne réputation","une femme.","28"
"2020/06/20 7:41:11 PM UTC+2","Oui","Aucun","Amazon;Fnac","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Informatique;Jeux vidéo;Littérature ","Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","5","4","Le site web","","","","","Fnac","Beau design;Grande variété de produits;Grand nombre de fonctionnalités;Bonne réputation;Conseillé par un proche","un homme.","24"
